cpu_profile,cpu_profile_scaling_threshold,memory_profile,memory_profile_scaling_threshold,replicas_profile,cpu_search,cpu_search_scaling_threshold,memory_search,memory_search_scaling_threshold,replicas_search,cpu_frontend,cpu_frontend_scaling_threshold,memory_frontend,memory_frontend_scaling_threshold,replicas_frontend,cpu_user,cpu_user_scaling_threshold,memory_user,memory_user_scaling_threshold,replicas_user,cpu_reservation,cpu_reservation_scaling_threshold,memory_reservation,memory_reservation_scaling_threshold,replicas_reservation,cpu_memcached-reserve,cpu_memcached-reserve_scaling_threshold,memory_memcached-reserve,memory_memcached-reserve_scaling_threshold,replicas_memcached-reserve,cpu_rate,cpu_rate_scaling_threshold,memory_rate,memory_rate_scaling_threshold,replicas_rate,cpu_memcached-profile,cpu_memcached-profile_scaling_threshold,memory_memcached-profile,memory_memcached-profile_scaling_threshold,replicas_memcached-profile,cpu_consul,cpu_consul_scaling_threshold,memory_consul,memory_consul_scaling_threshold,replicas_consul,cpu_jaeger,cpu_jaeger_scaling_threshold,memory_jaeger,memory_jaeger_scaling_threshold,replicas_jaeger,cpu_geo,cpu_geo_scaling_threshold,memory_geo,memory_geo_scaling_threshold,replicas_geo,cpu_memcached-rate,cpu_memcached-rate_scaling_threshold,memory_memcached-rate,memory_memcached-rate_scaling_threshold,replicas_memcached-rate,cpu_recommendation,cpu_recommendation_scaling_threshold,memory_recommendation,memory_recommendation_scaling_threshold,replicas_recommendation,time,total_rps," ('/recommendations','GET')_rps","('/recommendations','GET')_p95","('/recommendations','GET')_p99","('/recommendations','GET')_avg"," ('/user','POST')_rps","('/user','POST')_p95","('/user','POST')_p99","('/user','POST')_avg"," ('/hotels','GET')_rps","('/hotels','GET')_p95","('/hotels','GET')_p99","('/hotels','GET')_avg"," ('/reservation','POST')_rps","('/reservation','POST')_p95","('/reservation','POST')_p99","('/reservation','POST')_avg"
112.0,50.0,13.0,50.0,1.0,68.0,50.0,18.0,50.0,1.0,0.0,50.0,1.0,50.0,1.0,0.0,50.0,4.0,50.0,1.0,170.0,50.0,11.0,50.0,1.0,6.0,50.0,3.0,50.0,1.0,,50.0,2.0,50.0,1.0,3.0,50.0,3.0,50.0,1.0,6.0,50.0,25.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,,50.0,8.0,50.0,1.0,4.0,50.0,3.0,50.0,1.0,57.0,50.0,8.0,50.0,1.0,76s,1362.0,543.2,3378.0,3574.3,1950.5,7.0,3301.2,3572.6,1989.3,806.3,3378.0,3574.0,1933.1,5.5,3266.3,3544.4,2008.6
180.0,50.0,15.0,50.0,3.0,152.0,50.0,18.0,50.0,2.0,182.0,50.0,51.0,50.0,1.0,2.0,50.0,5.0,50.0,1.0,156.0,50.0,8.0,50.0,4.0,23.0,50.0,3.0,50.0,1.0,103.0,50.0,8.0,50.0,1.0,21.0,50.0,3.0,50.0,1.0,3.0,50.0,26.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,118.0,50.0,8.0,50.0,1.0,14.0,50.0,3.0,50.0,1.0,55.0,50.0,9.0,50.0,2.0,91s,1583.1,621.9,6475.5,6635.0,3713.1,7.7,6332.9,6490.3,3664.9,946.3,6477.6,6635.3,3729.9,7.3,6488.6,6637.4,3863.4
139.0,50.0,12.0,50.0,4.0,121.0,50.0,19.0,50.0,4.0,199.0,50.0,77.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,65.0,50.0,8.0,50.0,4.0,27.0,50.0,3.0,50.0,1.0,152.0,50.0,10.0,50.0,3.0,20.0,50.0,4.0,50.0,1.0,6.0,50.0,28.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,108.0,50.0,15.0,50.0,3.0,15.0,50.0,3.0,50.0,1.0,55.0,50.0,8.0,50.0,2.0,106s,1970.1,779.2,7086.9,7142.8,5021.1,9.3,7077.4,7138.1,4943.8,1171.6,7089.1,7143.5,5031.4,10.0,7096.0,7157.6,5229.4
86.0,50.0,11.0,50.0,6.0,96.0,50.0,25.0,50.0,4.0,99.0,50.0,20.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,68.0,50.0,8.0,50.0,4.0,27.0,50.0,3.0,50.0,1.0,84.0,50.0,10.0,50.0,3.0,21.0,50.0,4.0,50.0,1.0,7.0,50.0,39.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,95.0,50.0,16.0,50.0,3.0,18.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,2m1s,2043.1,792.3,7075.9,7137.7,5539.5,10.1,7045.9,7135.9,5499.7,1229.8,7076.0,7137.8,5558.2,10.9,7073.8,7136.5,5738.7
72.0,50.0,10.0,50.0,6.0,87.0,50.0,25.0,50.0,8.0,50.0,50.0,22.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,67.0,50.0,8.0,50.0,6.0,27.0,50.0,3.0,50.0,1.0,72.0,50.0,10.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,7.0,50.0,39.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,67.0,50.0,16.0,50.0,3.0,17.0,50.0,3.0,50.0,1.0,41.0,50.0,8.0,50.0,2.0,2m16s,2025.0,791.0,7049.2,7135.8,5756.1,11.5,7038.2,7130.9,5754.1,1212.3,7045.5,7135.9,5772.2,10.1,7052.7,7135.9,5913.0
49.0,50.0,10.0,50.0,6.0,67.0,50.0,26.0,50.0,8.0,50.0,50.0,28.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,28.0,50.0,3.0,50.0,1.0,50.0,50.0,14.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,10.0,50.0,44.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,72.0,50.0,23.0,50.0,5.0,17.0,50.0,3.0,50.0,1.0,44.0,50.0,8.0,50.0,2.0,2m32s,2043.5,791.1,7038.5,7134.0,5839.1,10.7,7034.1,7125.4,5843.9,1231.2,7037.3,7133.9,5854.4,10.5,7038.5,7135.8,5970.3
49.0,50.0,10.0,50.0,6.0,51.0,50.0,29.0,50.0,10.0,50.0,50.0,28.0,50.0,4.0,4.0,50.0,6.0,50.0,1.0,40.0,50.0,8.0,50.0,6.0,28.0,50.0,3.0,50.0,1.0,43.0,50.0,15.0,50.0,6.0,21.0,50.0,3.0,50.0,1.0,6.0,50.0,45.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,56.0,50.0,21.0,50.0,5.0,17.0,50.0,3.0,50.0,1.0,36.0,50.0,8.0,50.0,2.0,2m47s,1738.1,668.9,7090.4,7471.2,5902.3,8.9,7072.0,7294.6,5897.5,1052.1,7096.1,7479.8,5917.4,8.2,7077.8,7330.1,6008.0
36.0,50.0,10.0,50.0,6.0,45.0,50.0,29.0,50.0,10.0,50.0,50.0,28.0,50.0,4.0,4.0,50.0,6.0,50.0,1.0,44.0,50.0,8.0,50.0,6.0,24.0,50.0,3.0,50.0,1.0,34.0,50.0,23.0,50.0,6.0,18.0,50.0,4.0,50.0,1.0,42.0,50.0,57.0,50.0,1.0,0.0,50.0,6.0,50.0,1.0,41.0,50.0,22.0,50.0,6.0,15.0,50.0,3.0,50.0,1.0,36.0,50.0,8.0,50.0,2.0,3m2s,1733.6,672.3,10097.1,10172.0,6397.2,7.5,10081.4,10144.9,6323.3,1046.3,10105.6,10172.6,6416.8,7.5,10094.4,10173.1,6444.4
47.0,50.0,10.0,50.0,6.0,46.0,50.0,30.0,50.0,10.0,47.0,50.0,33.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,45.0,50.0,26.0,50.0,6.0,17.0,50.0,4.0,50.0,1.0,5.0,50.0,58.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,39.0,50.0,23.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,3m17s,1997.3,774.0,10131.9,10171.4,6839.1,9.7,10128.5,10147.4,6765.5,1203.5,10132.7,10172.2,6861.0,10.0,10128.9,10173.0,6896.7
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,33.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,46.0,50.0,20.0,50.0,6.0,19.0,50.0,3.0,50.0,1.0,3.0,50.0,37.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,39.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,3m32s,1986.9,776.3,10193.9,10249.6,7200.0,9.8,10221.7,10257.8,7129.6,1192.1,10194.2,10251.2,7219.0,8.8,10193.5,10242.4,7223.7
