total_rps:1362.0; ('/recommendations','GET')_rps:543.2;('/recommendations','GET')_p95:3378.0;('/recommendations','GET')_p99:3574.3;('/recommendations','GET')_avg:1950.5; ('/user','POST')_rps:7.0;('/user','POST')_p95:3301.2;('/user','POST')_p99:3572.6;('/user','POST')_avg:1989.3; ('/hotels','GET')_rps:806.3;('/hotels','GET')_p95:3378.0;('/hotels','GET')_p99:3574.0;('/hotels','GET')_avg:1933.1; ('/reservation','POST')_rps:5.5;('/reservation','POST')_p95:3266.3;('/reservation','POST')_p99:3544.4;('/reservation','POST')_avg:2008.6
total_rps:1583.1; ('/recommendations','GET')_rps:621.9;('/recommendations','GET')_p95:6475.5;('/recommendations','GET')_p99:6635.0;('/recommendations','GET')_avg:3713.1; ('/user','POST')_rps:7.7;('/user','POST')_p95:6332.9;('/user','POST')_p99:6490.3;('/user','POST')_avg:3664.9; ('/hotels','GET')_rps:946.3;('/hotels','GET')_p95:6477.6;('/hotels','GET')_p99:6635.3;('/hotels','GET')_avg:3729.9; ('/reservation','POST')_rps:7.3;('/reservation','POST')_p95:6488.6;('/reservation','POST')_p99:6637.4;('/reservation','POST')_avg:3863.4
total_rps:1970.1; ('/recommendations','GET')_rps:779.2;('/recommendations','GET')_p95:7086.9;('/recommendations','GET')_p99:7142.8;('/recommendations','GET')_avg:5021.1; ('/user','POST')_rps:9.3;('/user','POST')_p95:7077.4;('/user','POST')_p99:7138.1;('/user','POST')_avg:4943.8; ('/hotels','GET')_rps:1171.6;('/hotels','GET')_p95:7089.1;('/hotels','GET')_p99:7143.5;('/hotels','GET')_avg:5031.4; ('/reservation','POST')_rps:10.0;('/reservation','POST')_p95:7096.0;('/reservation','POST')_p99:7157.6;('/reservation','POST')_avg:5229.4
total_rps:2043.1; ('/recommendations','GET')_rps:792.3;('/recommendations','GET')_p95:7075.9;('/recommendations','GET')_p99:7137.7;('/recommendations','GET')_avg:5539.5; ('/user','POST')_rps:10.1;('/user','POST')_p95:7045.9;('/user','POST')_p99:7135.9;('/user','POST')_avg:5499.7; ('/hotels','GET')_rps:1229.8;('/hotels','GET')_p95:7076.0;('/hotels','GET')_p99:7137.8;('/hotels','GET')_avg:5558.2; ('/reservation','POST')_rps:10.9;('/reservation','POST')_p95:7073.8;('/reservation','POST')_p99:7136.5;('/reservation','POST')_avg:5738.7
total_rps:2025.0; ('/recommendations','GET')_rps:791.0;('/recommendations','GET')_p95:7049.2;('/recommendations','GET')_p99:7135.8;('/recommendations','GET')_avg:5756.1; ('/user','POST')_rps:11.5;('/user','POST')_p95:7038.2;('/user','POST')_p99:7130.9;('/user','POST')_avg:5754.1; ('/hotels','GET')_rps:1212.3;('/hotels','GET')_p95:7045.5;('/hotels','GET')_p99:7135.9;('/hotels','GET')_avg:5772.2; ('/reservation','POST')_rps:10.1;('/reservation','POST')_p95:7052.7;('/reservation','POST')_p99:7135.9;('/reservation','POST')_avg:5913.0
total_rps:2043.5; ('/recommendations','GET')_rps:791.1;('/recommendations','GET')_p95:7038.5;('/recommendations','GET')_p99:7134.0;('/recommendations','GET')_avg:5839.1; ('/user','POST')_rps:10.7;('/user','POST')_p95:7034.1;('/user','POST')_p99:7125.4;('/user','POST')_avg:5843.9; ('/hotels','GET')_rps:1231.2;('/hotels','GET')_p95:7037.3;('/hotels','GET')_p99:7133.9;('/hotels','GET')_avg:5854.4; ('/reservation','POST')_rps:10.5;('/reservation','POST')_p95:7038.5;('/reservation','POST')_p99:7135.8;('/reservation','POST')_avg:5970.3
total_rps:1738.1; ('/recommendations','GET')_rps:668.9;('/recommendations','GET')_p95:7090.4;('/recommendations','GET')_p99:7471.2;('/recommendations','GET')_avg:5902.3; ('/user','POST')_rps:8.9;('/user','POST')_p95:7072.0;('/user','POST')_p99:7294.6;('/user','POST')_avg:5897.5; ('/hotels','GET')_rps:1052.1;('/hotels','GET')_p95:7096.1;('/hotels','GET')_p99:7479.8;('/hotels','GET')_avg:5917.4; ('/reservation','POST')_rps:8.2;('/reservation','POST')_p95:7077.8;('/reservation','POST')_p99:7330.1;('/reservation','POST')_avg:6008.0
total_rps:1733.6; ('/recommendations','GET')_rps:672.3;('/recommendations','GET')_p95:10097.1;('/recommendations','GET')_p99:10172.0;('/recommendations','GET')_avg:6397.2; ('/user','POST')_rps:7.5;('/user','POST')_p95:10081.4;('/user','POST')_p99:10144.9;('/user','POST')_avg:6323.3; ('/hotels','GET')_rps:1046.3;('/hotels','GET')_p95:10105.6;('/hotels','GET')_p99:10172.6;('/hotels','GET')_avg:6416.8; ('/reservation','POST')_rps:7.5;('/reservation','POST')_p95:10094.4;('/reservation','POST')_p99:10173.1;('/reservation','POST')_avg:6444.4
total_rps:1997.3; ('/recommendations','GET')_rps:774.0;('/recommendations','GET')_p95:10131.9;('/recommendations','GET')_p99:10171.4;('/recommendations','GET')_avg:6839.1; ('/user','POST')_rps:9.7;('/user','POST')_p95:10128.5;('/user','POST')_p99:10147.4;('/user','POST')_avg:6765.5; ('/hotels','GET')_rps:1203.5;('/hotels','GET')_p95:10132.7;('/hotels','GET')_p99:10172.2;('/hotels','GET')_avg:6861.0; ('/reservation','POST')_rps:10.0;('/reservation','POST')_p95:10128.9;('/reservation','POST')_p99:10173.0;('/reservation','POST')_avg:6896.7
total_rps:1986.9; ('/recommendations','GET')_rps:776.3;('/recommendations','GET')_p95:10193.9;('/recommendations','GET')_p99:10249.6;('/recommendations','GET')_avg:7200.0; ('/user','POST')_rps:9.8;('/user','POST')_p95:10221.7;('/user','POST')_p99:10257.8;('/user','POST')_avg:7129.6; ('/hotels','GET')_rps:1192.1;('/hotels','GET')_p95:10194.2;('/hotels','GET')_p99:10251.2;('/hotels','GET')_avg:7219.0; ('/reservation','POST')_rps:8.8;('/reservation','POST')_p95:10193.5;('/reservation','POST')_p99:10242.4;('/reservation','POST')_avg:7223.7
total_rps:1993.9; ('/recommendations','GET')_rps:763.5;('/recommendations','GET')_p95:10242.9;('/recommendations','GET')_p99:10331.7;('/recommendations','GET')_avg:7491.6; ('/user','POST')_rps:10.8;('/user','POST')_p95:10261.6;('/user','POST')_p99:10332.6;('/user','POST')_avg:7456.0; ('/hotels','GET')_rps:1209.1;('/hotels','GET')_p95:10243.0;('/hotels','GET')_p99:10331.7;('/hotels','GET')_avg:7516.4; ('/reservation','POST')_rps:10.5;('/reservation','POST')_p95:10251.7;('/reservation','POST')_p99:10332.0;('/reservation','POST')_avg:7542.8
